id;user_id;channel;message;is_read
1;39679;Grocery Tasty Borders;experiences;68433
2;506;Pound Cheese SCSI;primary Fish;15837
3;11937;leverage bricks-and-clicks Operations;Station Fantastic green;24695
4;89151;Outdoors Brand Creative;indigo Virginia;85313
5;51655;transitional;Nebraska Ergonomic;79337
6;31107;Global responsive Internal;Tools initiatives;71847
7;60845;hacking;cross-media Rustic;72009
8;61505;relationships;white;10085
9;70227;Israel Savings;Iran azure;19314
10;53077;mobile Borders;Concrete;65534
